target_harmonized,modality,quadrant,clinical_performance_Y,clinical_label,clinical_decisive_n,clinical_confidence,n_trials,epitope_crowding_X,x_status,fto_l1_epitope,fto_l2_format,fto_l3_use,fto_l1_lock_count,patents_grounded,ip_modalities,key_patent,blocking_assignee,x_resolved,y_resolved
CD30|ALK|MET,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD30|BTK,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD30|CD70,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD30|CTLA-4|PD-1,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD30|MESOTHELIN,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD30|PD-1|ALK,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD30|PD-1|CD20,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD30|PD-1|PD-L1,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD33,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,7,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,False
CD33|BCL-2,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD33|BCL-2,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD33|CLL-1|NKG2D,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD33|PD-L1|BCL-2,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38-MMAF,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|BCMA,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,5,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|BCMA|CD16,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|BCMA|CD19,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|BCMA|CD3,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,7,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|BCMA|CD3,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|BCMA|CD3|GPRC5D,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|BET|BRD4,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|CD3,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,False
CD38|CD47|SIRP-ALPHA,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|CRBN,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,3,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|CTLA-4|PD-1,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|FCRH5|CD3,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|GPRC5D,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|GPRC5D|CD3,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|PD-1,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|PD-1|KRAS,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD38|VEGF,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD39,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,False
CD3|CD33|HER2,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|CDH17,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|CEA,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|CEA,BITE,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|CEA|EPCAM|GPC3|MUC1,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|CLDN18.2,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|EGFR,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|ENPP3,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|EPCAM,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,6,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|EPCAM,BITE,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|EPCAM,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|GPC3,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|PD-1,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|PD-L1,BITE,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|PD-L1,OUT_OF_SCOPE,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|PSMA,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|ROR1,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD3|TCR,BITE,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,False
CD40,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,False
CD40,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,False
CD40,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,9,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,False
CD40|PD-1,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD40|PD-1|PD-L1,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD40|PD-L1,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,False
CD47,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,False
CD47|CD137,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD47|CD73|CTLA-4|PD-1|SIRP-ALPHA,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD47|CLDN18.2|SIRP-ALPHA,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD47|CTLA-4|PD-1,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD47|CTLA-4|PD-1|SIRP-ALPHA,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD47|EGFR|PD-1,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD47|HER2|SIRP-ALPHA,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD47|LAG-3|PD-1|SIRP-ALPHA,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD47|PD-1,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD47|PD-1,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD47|PD-1|SIRP-ALPHA|VEGF,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD47|PD-1|VEGF,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD47|PD-L1,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,4,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,False
CD47|SIRP-ALPHA|TCR,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD70,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,29,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,False
CD70,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,5,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,False
CD70|CEA,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD70|CLDN18.2|GPC3|MUC1|MESOTHELIN|NKG2D,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD70|EGFR|HER2,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD70|GD2,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD70|HIF|PSMA|VHL,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD70|PSMA,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD73,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,False
CD73,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,5,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,False
CD73|CD122,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD73|CLDN18.2,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD73|HER2|PD-1|PD-L1,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD73|LAG-3,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD73|PD-1,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD73|PD-1|PD-L1,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD73|PD-1|VEGF,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD73|PD-1|VHL,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD73|PD-L1,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC,,,False,False
CD79B,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|MAB,,,False,False
CD79B,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|MAB,,,False,False
CD79B|CD20,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD79B|CD20|CD19|CD3,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD79B|CD20|CD3,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,5,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD79B|CD20|CD3,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,3,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD79B|CD20|CD3,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD79B|CD20|CD3|ALK|BCL-2,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD79B|CD20|CD3|BTK,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD79B|CD20|CD3|CD137|CD19,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD79B|PD-1|CD19|CD20,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD79B|PD-1|CD20,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD79B|PD-L1|CD20|CD3,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CD79B|PD-L1|CD20|CD3|BTK,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CDH17,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,False
CDH17,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,BISPECIFIC|MAB,,,False,False
CDH17-EXATECAN,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CDH17|CDH6,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CDH17|LAG-3|PD-1|TIM-3,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CDH6,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|MAB,,,False,False
CDH6-DXD,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC,,,False,False
CDH6-EXATECAN,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CDH6-TOP1I,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CDH6|FOLR1,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,6,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|MAB,,,False,False
CEACAM5,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,False
CEACAM5,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,False
CEACAM5-EXATECAN,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,3,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC,,,False,False
CEACAM5-TOP1I,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEACAM5|CEACAM6,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEACAM5|MUC1,OUT_OF_SCOPE,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA|CEACAM5|CLDN18.2|EGFR|GPC3|HER2|TROP-2,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA|CEACAM5|CTLA-4|MUC16,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA|CEACAM5|EPCAM|HER2,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA|CEACAM5|HER2,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA|CEACAM5|MUC16,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,3,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA|EPCAM|MUC16,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA|GPC3|MESOTHELIN,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA|ICAM1,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA|MUC16,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA|MUC16|NKG2D|PD-L1,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA|MUC1|MESOTHELIN|PSCA,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA|PD-L1,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CEA|TROP-2-KL610023,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CLAUDIN18.2-TOP1I,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CLDN1,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,MAB,,,False,False
CLDN18.2,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,11,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,ADC|BISPECIFIC|MAB,,,False,False
CLDN18.2-TOP1I,ADC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,2,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CLDN18.2|CTLA-4|PD-1|TIGIT,BISPECIFIC,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CLDN18.2|EGFR|HER2,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CLDN18.2|EGFR|HER2,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CLDN18.2|HER2,CAR-T,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CLDN18.2|HER2,MAB,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,1,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
CLDN18.2|HER2,UNCLASSIFIED,UNRESOLVED,,ABSTAIN - no decisive readout,0,0.0,3,,UNRESOLVED_no_grounded_patents,0.0,0.0,0.0,0,0,,,,False,False
